task_type,stimulus_id,stimulus_name,stimulus_file,label_rule,fixed_label
PTD,1,3a_z,images/3a_z.png,block_target_membership,
PTD,2,3b_z,images/3b_z.png,block_target_membership,
PTD,3,3c_z,images/3c_z.png,block_target_membership,
PTD,4,3d_z,images/3d_z.png,block_target_membership,
PTD,5,3e_z,images/3e_z.png,block_target_membership,
PTD,6,4a_z,images/4a_z.png,block_target_membership,
PTD,7,4b_z,images/4b_z.png,block_target_membership,
PTD,8,4c_z_2,images/4c_z_2.png,block_target_membership,
PTD,9,4d_z,images/4d_z.png,block_target_membership,
PTD,10,4e_z,images/4e_z.png,block_target_membership,
PTD,11,5a_z,images/5a_z.png,block_target_membership,
PTD,12,5c_z,images/5c_z.png,block_target_membership,
PTD,13,5e_z,images/5e_z.png,block_target_membership,
PTD,14,6a_z,images/6a_z.png,block_target_membership,
PTD,15,6b_z,images/6b_z.png,block_target_membership,
PTD,16,6c_z,images/6c_z.png,block_target_membership,
PTD,17,6d_z,images/6d_z.png,block_target_membership,
PTD,18,6e_z,images/6e_z.png,block_target_membership,
LTD,1,# # this file entails the basis for the verbal memory-search task (letter task),,block_target_membership,
LTD,2,# # it includes far more than 4 items because at least 4 items are necessary for presentation and,,block_target_membership,
LTD,3,# # the targets drawn from this pool of letters for each block should not be repeated,,block_target_membership,
LTD,4,# B,,block_target_membership,
LTD,5,# C,,block_target_membership,
LTD,6,# D,,block_target_membership,
LTD,7,# F,,block_target_membership,
LTD,8,# G,,block_target_membership,
LTD,9,# H,,block_target_membership,
LTD,10,# J,,block_target_membership,
LTD,11,# K,,block_target_membership,
LTD,12,# L,,block_target_membership,
LTD,13,# M,,block_target_membership,
LTD,14,# N,,block_target_membership,
LTD,15,# P,,block_target_membership,
LTD,16,# Q,,block_target_membership,
LTD,17,# R,,block_target_membership,
LTD,18,# S,,block_target_membership,
LTD,19,# T,,block_target_membership,
LTD,20,# V,,block_target_membership,
LTD,21,# W,,block_target_membership,
LTD,22,# X,,block_target_membership,
LTD,23,# Y,,block_target_membership,
LTD,24,# this file entails the basis for the verbal memory-search task (letter task) # it includes far more than 4 items because at least 4 items are necessary for presentation and,,block_target_membership,
LTD,25,# this file entails the basis for the verbal memory-search task (letter task) # the targets drawn from this pool of letters for each block should not be repeated,,block_target_membership,
LTD,26,# this file entails the basis for the verbal memory-search task (letter task) B,,block_target_membership,
LTD,27,# this file entails the basis for the verbal memory-search task (letter task) C,,block_target_membership,
LTD,28,# this file entails the basis for the verbal memory-search task (letter task) D,,block_target_membership,
LTD,29,# this file entails the basis for the verbal memory-search task (letter task) F,,block_target_membership,
LTD,30,# this file entails the basis for the verbal memory-search task (letter task) G,,block_target_membership,
LTD,31,# this file entails the basis for the verbal memory-search task (letter task) H,,block_target_membership,
LTD,32,# this file entails the basis for the verbal memory-search task (letter task) J,,block_target_membership,
LTD,33,# this file entails the basis for the verbal memory-search task (letter task) K,,block_target_membership,
LTD,34,# this file entails the basis for the verbal memory-search task (letter task) L,,block_target_membership,
LTD,35,# this file entails the basis for the verbal memory-search task (letter task) M,,block_target_membership,
LTD,36,# this file entails the basis for the verbal memory-search task (letter task) N,,block_target_membership,
LTD,37,# this file entails the basis for the verbal memory-search task (letter task) P,,block_target_membership,
LTD,38,# this file entails the basis for the verbal memory-search task (letter task) Q,,block_target_membership,
LTD,39,# this file entails the basis for the verbal memory-search task (letter task) R,,block_target_membership,
LTD,40,# this file entails the basis for the verbal memory-search task (letter task) S,,block_target_membership,
LTD,41,# this file entails the basis for the verbal memory-search task (letter task) T,,block_target_membership,
LTD,42,# this file entails the basis for the verbal memory-search task (letter task) V,,block_target_membership,
LTD,43,# this file entails the basis for the verbal memory-search task (letter task) W,,block_target_membership,
LTD,44,# this file entails the basis for the verbal memory-search task (letter task) X,,block_target_membership,
LTD,45,# this file entails the basis for the verbal memory-search task (letter task) Y,,block_target_membership,
LTD,46,# it includes far more than 4 items because at least 4 items are necessary for presentation and # the targets drawn from this pool of letters for each block should not be repeated,,block_target_membership,
LTD,47,# it includes far more than 4 items because at least 4 items are necessary for presentation and B,,block_target_membership,
LTD,48,# it includes far more than 4 items because at least 4 items are necessary for presentation and C,,block_target_membership,
LTD,49,# it includes far more than 4 items because at least 4 items are necessary for presentation and D,,block_target_membership,
